"Plot Title: 20297239"
"#","Date Time, GMT-08:00","Avg: Temperature, °F (LGR S/N: 20297239)","Avg: Pressure, psi (LGR S/N: 20297239)","Max: Temperature, °F (LGR S/N: 20297239)","Min: Temperature, °F (LGR S/N: 20297239)","Coupler Detached (LGR S/N: 20297239)","Coupler Attached (LGR S/N: 20297239)","Host Connected (LGR S/N: 20297239)","Stopped (LGR S/N: 20297239)","End Of File (LGR S/N: 20297239)"
201,06/14/18 05:00:00 PM,50.113,15.0556,50.113,50.113,,,,,
202,06/14/18 06:00:00 PM,50.466,15.0491,50.466,50.466,,,,,
203,06/14/18 07:00:00 PM,50.995,15.0530,50.995,50.995,,,,,
204,06/14/18 08:00:00 PM,50.995,15.0655,50.995,50.995,,,,,
205,06/14/18 09:00:00 PM,50.819,15.0649,50.819,50.819,,,,,
206,06/14/18 10:00:00 PM,50.466,15.0790,50.466,50.466,,,,,
207,06/14/18 11:00:00 PM,49.937,15.0902,49.937,49.937,,,,,
208,06/15/18 12:00:00 AM,49.228,15.1032,49.228,49.228,,,,,
209,06/15/18 01:00:00 AM,48.871,15.1197,48.871,48.871,,,,,
210,06/15/18 02:00:00 AM,49.050,15.1327,49.050,49.050,,,,,
211,06/15/18 03:00:00 AM,48.871,15.1447,48.871,48.871,,,,,
212,06/15/18 04:00:00 AM,48.517,15.1537,48.517,48.517,,,,,
213,06/15/18 05:00:00 AM,48.160,15.1827,48.160,48.160,,,,,
214,06/15/18 06:00:00 AM,47.802,15.1767,47.802,47.802,,,,,
215,06/15/18 07:00:00 AM,47.446,15.1759,47.446,47.446,,,,,
216,06/15/18 08:00:00 AM,47.266,15.1878,47.266,47.266,,,,,
217,06/15/18 09:00:00 AM,46.728,15.1989,46.728,46.728,,,,,
218,06/15/18 10:00:00 AM,46.369,15.2079,46.369,46.369,,,,,
219,06/15/18 11:00:00 AM,46.188,15.2075,46.188,46.188,,,,,
220,06/15/18 12:00:00 PM,46.008,15.2045,46.008,46.008,,,,,
221,06/15/18 01:00:00 PM,45.648,15.2060,45.648,45.648,,,,,
222,06/15/18 02:00:00 PM,45.286,15.2001,45.286,45.286,,,,,
