"Plot Title: 20331189"
"#","Date Time, GMT-08:00","Max: Temperature, °F (LGR S/N: 20331189)","Min: Temperature, °F (LGR S/N: 20331189)","Avg: Temperature, °F (LGR S/N: 20331189)","Avg: Pressure, psi (LGR S/N: 20331189)","Coupler Detached (LGR S/N: 20331189)","Coupler Attached (LGR S/N: 20331189)","Host Connected (LGR S/N: 20331189)","Stopped (LGR S/N: 20331189)","End Of File (LGR S/N: 20331189)"
134,06/11/18 10:00:00 PM,62.425,62.425,62.425,14.6333,,,,,
135,06/11/18 11:00:00 PM,50.819,50.819,50.819,14.6381,,,,,
136,06/12/18 12:00:00 AM,46.188,46.188,46.188,14.6497,,,,,
137,06/12/18 01:00:00 AM,45.104,45.104,45.104,14.6597,,,,,
138,06/12/18 02:00:00 AM,43.831,43.831,43.831,14.6642,,,,,
139,06/12/18 03:00:00 AM,41.810,41.810,41.810,14.6671,,,,,
140,06/12/18 04:00:00 AM,39.760,39.760,39.760,14.6749,,,,,
141,06/12/18 05:00:00 AM,38.250,38.250,38.250,14.6816,,,,,
142,06/12/18 06:00:00 AM,36.723,36.723,36.723,14.6832,,,,,
143,06/12/18 07:00:00 AM,37.488,37.488,37.488,14.6872,,,,,
144,06/12/18 08:00:00 AM,43.282,43.282,43.282,14.6903,,,,,
145,06/12/18 09:00:00 AM,66.708,66.708,66.708,14.6986,,,,,
146,06/12/18 10:00:00 AM,74.098,74.098,74.098,14.6974,,,,,
147,06/12/18 11:00:00 AM,63.282,63.282,63.282,14.6975,,,,,
148,06/12/18 12:00:00 PM,61.054,61.054,61.054,14.6971,,,,,
149,06/12/18 01:00:00 PM,63.111,63.111,63.111,14.6971,,,,,
150,06/12/18 02:00:00 PM,60.883,60.883,60.883,14.6942,,,,,
151,06/12/18 03:00:00 PM,59.508,59.508,59.508,14.6884,,,,,
152,06/12/18 04:00:00 PM,61.569,61.569,61.569,14.6884,,,,,
153,06/12/18 05:00:00 PM,65.338,65.338,65.338,14.6877,,,,,
154,06/12/18 06:00:00 PM,67.392,67.392,67.392,14.6878,,,,,
155,06/12/18 07:00:00 PM,59.164,59.164,59.164,14.6925,,,,,
156,06/12/18 08:00:00 PM,53.973,53.973,53.973,14.6925,,,,,
157,06/12/18 09:00:00 PM,52.225,52.225,52.225,14.6909,,,,,
158,06/12/18 10:00:00 PM,50.113,50.113,50.113,14.6935,,,,,
159,06/12/18 11:00:00 PM,48.871,48.871,48.871,14.6955,,,,,
160,06/13/18 12:00:00 AM,46.548,46.548,46.548,14.6977,,,,,
161,06/13/18 01:00:00 AM,44.560,44.560,44.560,14.6981,,,,,
162,06/13/18 02:00:00 AM,42.179,42.179,42.179,14.7002,,,,,
163,06/13/18 03:00:00 AM,39.007,39.007,39.007,14.7006,,,,,
164,06/13/18 04:00:00 AM,36.914,36.914,36.914,14.6959,,,,,
165,06/13/18 05:00:00 AM,36.914,36.914,36.914,14.6959,,,,,
166,06/13/18 06:00:00 AM,35.951,35.951,35.951,14.6939,,,,,
167,06/13/18 07:00:00 AM,40.321,40.321,40.321,14.6886,,,,,
168,06/13/18 08:00:00 AM,50.819,50.819,50.819,14.6852,,,,,
169,06/13/18 09:00:00 AM,71.168,71.168,71.168,14.6800,,,,,
170,06/13/18 10:00:00 AM,76.181,76.181,76.181,14.6729,,,,,
171,06/13/18 11:00:00 AM,74.446,74.446,74.446,14.6635,,,,,
172,06/13/18 12:00:00 PM,70.480,70.480,70.480,14.6558,,,,,
173,06/13/18 01:00:00 PM,64.139,64.139,64.139,14.6524,,,,,
174,06/13/18 02:00:00 PM,63.797,63.797,63.797,14.6417,,,,,
175,06/13/18 03:00:00 PM,62.598,62.598,62.598,14.6362,,,,,
176,06/13/18 04:00:00 PM,65.680,65.680,65.680,14.6289,,,,,
177,06/13/18 05:00:00 PM,69.278,69.278,69.278,14.6255,,,,,
178,06/13/18 06:00:00 PM,72.891,72.891,72.891,14.6221,,,,,
179,06/13/18 07:00:00 PM,69.449,69.449,69.449,14.6159,,,,,
180,06/13/18 08:00:00 PM,66.193,66.193,66.193,14.6128,,,,,
181,06/13/18 09:00:00 PM,62.940,62.940,62.940,14.6123,,,,,
182,06/13/18 10:00:00 PM,65.338,65.338,65.338,14.6131,,,,,
183,06/13/18 11:00:00 PM,53.449,53.449,53.449,14.6169,,,,,
184,06/14/18 12:00:00 AM,47.624,47.624,47.624,14.6184,,,,,
185,06/14/18 01:00:00 AM,45.648,45.648,45.648,14.6188,,,,,
186,06/14/18 02:00:00 AM,44.379,44.379,44.379,14.6184,,,,,
187,06/14/18 03:00:00 AM,45.466,45.466,45.466,14.6159,,,,,
188,06/14/18 04:00:00 AM,45.648,45.648,45.648,14.6213,,,,,
189,06/14/18 05:00:00 AM,44.922,44.922,44.922,14.6172,,,,,
190,06/14/18 06:00:00 AM,45.286,45.286,45.286,14.6179,,,,,
191,06/14/18 07:00:00 AM,47.624,47.624,47.624,14.6208,,,,,
192,06/14/18 08:00:00 AM,51.699,51.699,51.699,14.6252,,,,,
193,06/14/18 09:00:00 AM,67.050,67.050,67.050,14.6273,,,,,
194,06/14/18 10:00:00 AM,87.004,87.004,87.004,14.6292,,,,,
195,06/14/18 11:00:00 AM,82.152,82.152,82.152,14.6237,,,,,
196,06/14/18 12:00:00 PM,74.098,74.098,74.098,14.6227,,,,,
197,06/14/18 01:00:00 PM,70.137,70.137,70.137,14.6227,,,,,
198,06/14/18 02:00:00 PM,68.592,68.592,68.592,14.6262,,,,,
199,06/14/18 03:00:00 PM,68.077,68.077,68.077,14.6224,,,,,
200,06/14/18 04:00:00 PM,68.934,68.934,68.934,14.6221,,,,,
201,06/14/18 05:00:00 PM,71.683,71.683,71.683,14.6215,,,,,
202,06/14/18 06:00:00 PM,76.006,76.006,76.006,14.6276,,,,,
203,06/14/18 07:00:00 PM,76.181,76.181,76.181,14.6305,,,,,
204,06/14/18 08:00:00 PM,71.683,71.683,71.683,14.6340,,,,,
205,06/14/18 09:00:00 PM,68.763,68.763,68.763,14.6391,,,,,
206,06/14/18 10:00:00 PM,78.098,78.098,78.098,14.6479,,,,,
207,06/14/18 11:00:00 PM,64.996,64.996,64.996,14.6521,,,,,
208,06/15/18 12:00:00 AM,55.884,55.884,55.884,14.6598,,,,,
209,06/15/18 01:00:00 AM,52.225,52.225,52.225,14.6661,,,,,
210,06/15/18 02:00:00 AM,53.449,53.449,53.449,14.6690,,,,,
211,06/15/18 03:00:00 AM,54.669,54.669,54.669,14.6694,,,,,
212,06/15/18 04:00:00 AM,55.189,55.189,55.189,14.6706,,,,,
213,06/15/18 05:00:00 AM,55.711,55.711,55.711,14.6719,,,,,
214,06/15/18 06:00:00 AM,56.404,56.404,56.404,14.6759,,,,,
215,06/15/18 07:00:00 AM,57.614,57.614,57.614,14.6788,,,,,
216,06/15/18 08:00:00 AM,58.647,58.647,58.647,14.6788,,,,,
217,06/15/18 09:00:00 AM,60.712,60.712,60.712,14.6764,,,,,
218,06/15/18 10:00:00 AM,61.569,61.569,61.569,14.6835,,,,,
219,06/15/18 11:00:00 AM,67.564,67.564,67.564,14.6784,,,,,
